2020-08-27 09:55:21,312 [AUDIT] Token created by 'anonymous': tokenId='4a8cb1d4-f949-4070-8cbe-b056beb6cbcc', issuer='jfrou@01egqnfmmavh9jhqfdex9sdpmm', subject='jfrou@01egqnfmmavh9jhqfdex9sdpmm', expiry=none, refreshable=false
2020-08-27 09:55:24,170 [AUDIT] Token created by 'anonymous': tokenId='cd2d7983-28ae-4a90-a163-bde221e8dc2b', issuer='jfac@01egqnfh5wvnv30n1n33am1g5x', subject='jfac@01egqnfh5wvnv30n1n33am1g5x', expiry=1598522244165, refreshable=false
2020-08-27 09:55:24,296 [AUDIT] Token created by 'anonymous': tokenId='a91726d9-7b83-4987-b83f-49eecc000753', issuer='jfac@01egqnfh5wvnv30n1n33am1g5x', subject='jfac@01egqnfh5wvnv30n1n33am1g5x', expiry=1598522244295, refreshable=false
2020-08-27 09:55:24,518 [AUDIT] Token created by 'anonymous': tokenId='dba21557-4b64-4b0a-bd3f-2012ed5fc193', issuer='jfac@01egqnfh5wvnv30n1n33am1g5x', subject='jfac@01egqnfh5wvnv30n1n33am1g5x', expiry=1598522244513, refreshable=false
2020-08-27 09:55:24,925 [AUDIT] Token created by 'anonymous': tokenId='620ea5b9-7bad-4ac9-8d9c-958d864cf498', issuer='jfac@01egqnfh5wvnv30n1n33am1g5x', subject='jfac@01egqnfh5wvnv30n1n33am1g5x', expiry=1598522244924, refreshable=false
2020-08-27 09:55:25,622 [AUDIT] Token created by 'anonymous': tokenId='7fedf39f-ad59-4a94-8f42-1ca49ca76476', issuer='jfmd@01egqnfnbcnw7kzmxycx813qb6', subject='jfmd@01egqnfnbcnw7kzmxycx813qb6', expiry=none, refreshable=false
2020-08-27 09:55:25,673 [AUDIT] Token created by 'anonymous': tokenId='fe853cbe-f47a-40e6-8176-3a57cd515515', issuer='jfrt@01egqnftzj6k361sybwh4017ts', subject='jfrt@01egqnftzj6k361sybwh4017ts', expiry=none, refreshable=false
2020-08-27 09:55:25,737 [AUDIT] Token created by 'anonymous': tokenId='a0d10a8f-15a1-4893-be0e-c1ac7eebb1e9', issuer='jfac@01egqnfh5wvnv30n1n33am1g5x', subject='jfac@01egqnfh5wvnv30n1n33am1g5x', expiry=1598522245732, refreshable=false
2020-08-27 09:55:31,151 [AUDIT] Token created by 'anonymous': tokenId='29008b54-d62e-4b6d-a09c-d1a54df324c5', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-08-27 09:55:31,192 [AUDIT] Token created by 'jffe@000': tokenId='ddc1fdc4-1f4f-4161-8524-19b5e11e5e48', issuer='jffe@000', subject='jffe@000', expiry=1598522731192, refreshable=false
2020-08-27 09:56:16,100 [AUDIT] Token created by 'jffe@000': tokenId='f2dfe11f-1507-46f2-ba05-111541fe1ff9', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598522776100, refreshable=false
2020-08-27 09:56:16,113 [AUDIT] Token created by 'jffe@000': tokenId='49fe8cb1-b566-4c87-8d21-deae10ca4de8', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1598522776113, refreshable=false
